日期,货源ID,司机ID,录音ID,录音时间,整车车长,是否成交,是否该司机成交,模型预测价格,司机净收入,司机出价,货主出价,定金,信息费,是否信息部,零担,备注,司机车长,司机车型,货源重量,货源体积,装卸方式,出发地区,到达地区,装货日期,装货时间,卸货日期,卸货时间,货物名称
20190629,12497889624737,23429835901149047,1251195,2019-06-29 13:28:45,17.5,0,0,,,,,,,,,三不超，需方木,17.5,高低板,31.0,0.0,,长丰县,奉贤区,,,,,钢结构
20190629,12497889624737,96436390685336979,1243133,2019-06-29 10:13:12,17.5,0,0,,,,4200,,,,,不怕雨,18.0,平板,31.0,0.0,,长丰县,奉贤区,,,,,重货
20190629,12497889624737,23651742483474129,1261139,2019-06-29 20:04:04,17.5,0,0,,,,,,,,,,13.0,平板,31.0,0.0,,长丰县,奉贤区,,,,,钢结构
20190629,12498959754934,96205614892910131,1234693,2019-06-29 08:05:07,13.0,1,1,,3840,,,,,,,押回单500元,13.0,高栏,32.0,0.0,一装一卸,肥西县,浦东,20190629,,20190630,,农产品
20190629,12498959754934,600608457451743717,1234833,2019-06-29 08:08:22,13.0,1,0,,,,3840,,,,,除草剂,13.0,高低板,32.0,0.0,一装一卸,肥西县,浦东,20190629,,20190630,,农产品
20190629,12498959754934,96436391224611664,1240636,2019-06-29 09:33:34,13.0,1,0,,,,3840,,,,,,13.0,平板,32.0,0.0,一装一卸,肥西县,浦东,20190629,,20190630,,农产品
20190629,12499800031821,96002866062328367,1237210,2019-06-29 08:43:41,9.6,1,0,-1.0,,,2400,,,,,仓库是否好进,12.5,平板,16.0,0.0,,巢湖市,浦东,,,,,保温板
20190629,12499800031821,96436391527874968,1237840,2019-06-29 08:52:25,9.6,1,0,-1.0,,,2400,,,,,货到付款，人工装,12.5,平板,16.0,0.0,,巢湖市,浦东,,,,,保温板
20190629,12502780319808,95819431531413681,1241494,2019-06-29 09:46:10,17.5,1,0,-1.0,,4800,4160,,,,,不三超,17.5,平板,32.0,0.0,,肥西县,宝山区,20190630,,,,钢构
20190629,12502780319808,96380588041819385,1242057,2019-06-29 09:48:23,17.5,1,0,-1.0,,,4160,,100,1,2,到付现金,17.5,平板,32.0,0.0,,肥西县,宝山区,20190630,上午,,,钢构
20190629,12505095603843,23429835901129396,1246217,2019-06-29 11:07:50,9.6,0,0,-1.0,,,2800,,200,,,超高，进仓货物，进门费80元,9.6,高栏,10.0,60.0,,长丰县,浦东,20190629,,,,普货
20190629,12505095603843,96436391810463927,1246417,2019-06-29 11:15:04,9.6,0,0,-1.0,,,2800,,100,,,进仓货,9.6,高栏,10.0,60.0,,长丰县,浦东,20190629,,,,普货
20190629,12495420332889,4000000000002515538,1237947,2019-06-29 08:54:44,6.8,1,0,-1.0,,,,,,,,地址不符合司机,6.8,厢式,6.0,60.0,一装一卸,肥东县,奉贤区,20190629,,,,卫生纸
20190629,12495420332889,4000000000002604610,1238957,2019-06-29 09:08:56,6.8,1,0,-1.0,,,,,,,,地址不符合司机,9.6,厢式,6.0,60.0,一装一卸,肥东县,奉贤区,20190629,,,,卫生纸
20190629,12495420332889,600608457544123376,1233341,2019-06-29 07:42:55,6.8,1,0,-1.0,,2000,1500,,,,,40个方,6.8,高栏,6.0,60.0,一装一卸,肥东县,奉贤区,20190629,,,,卫生纸
20190629,12495420332889,96268191740703901,1231822,2019-06-29 07:11:35,6.8,1,0,-1.0,,,,,,1,,,7.8,厢式,6.0,60.0,一装一卸,肥东县,奉贤区,20190629,,,,卫生纸
20190629,12495420332889,96436391133357734,1239763,2019-06-29 09:18:20,6.8,1,1,-1.0,1900,,2000,,100,,,,9.6,飞翼车,6.0,60.0,一装一卸,肥东县,奉贤区,20190629,,,,卫生纸
20190629,12496182944132,4000000000000517536,1252294,2019-06-29 14:08:18,6.8,0,0,-1.0,,,1500,,,,,,9.6,飞翼车,10.0,0.0,,瑶海区,浦东,20190630,,,,雨伞
20190629,12510689179013,96380588041819385,1255930,2019-06-29 16:09:33,17.5,0,0,,,,3700,,,,,三不超,17.5,平板,30.0,0.0,一装一卸,经济开发区,浦东,20190629,,20190630,上午,其他设备
20190629,12510689179013,96380588041800771,1256015,2019-06-29 16:11:24,17.5,0,0,,,,3700,,,,,,17.5,高低板,30.0,0.0,一装一卸,经济开发区,浦东,20190629,,20190630,上午,其他设备
20190629,12510853378042,96436391676811913,1256835,2019-06-29 16:39:24,9.6,1,0,,,,,,,,,车型不符,4.8,厢式,0.0,46.0,一装一卸,瑶海区,浦东,20190630,下午,,,服装
20190629,12510853378042,600608457580751363,1257096,2019-06-29 16:48:55,9.6,1,0,,,,2200,,,,,,12.5,厢式,0.0,46.0,一装一卸,瑶海区,浦东,20190630,下午,,,服装
20190629,12510853378042,96436390529694736,1258689,2019-06-29 17:53:38,9.6,1,0,,,2600,2400,,,,,,9.6,厢式,0.0,46.0,一装一卸,瑶海区,浦东,20190630,下午,,,服装
20190629,12510853378042,15108222702853135,1257178,2019-06-29 16:51:15,9.6,1,0,,,,2300,,,,,,8,厢式,0.0,46.0,一装一卸,瑶海区,浦东,20190630,下午,,,服装
20190629,12510853378042,23651742484170280,1259242,2019-06-29 18:13:33,9.6,1,1,,2600,,,100,,,,,9.6,厢式,0.0,46.0,一装一卸,瑶海区,浦东,20190630,下午,,,服装
20190629,12512064576572,96002866063224365,1259931,2019-06-29 18:43:49,17.5,1,1,-1.0,3800,4000,3900,,,,,,17.5,平板,30.0,0.0,一装一卸,庐阳区,嘉定区,20190630,,,,钢构
20190629,12512064576572,600608457610369097,1258711,2019-06-29 17:55:11,17.5,1,0,-1.0,,,3800,,100,1,,一半油卡，最少30吨,16.0,高低板,30.0,0.0,一装一卸,庐阳区,嘉定区,20190630,,,,钢构
20190629,12512064576572,96380588039732008,1258695,2019-06-29 17:54:27,17.5,1,0,-1.0,,,3800,,,,,,17.5,平板,30.0,0.0,一装一卸,庐阳区,嘉定区,20190630,,,,钢构
