日期,货源ID,司机ID,录音ID,录音时间,整车车长,是否成交,是否该司机成交,模型预测价格,司机净收入,司机出价,货主出价,定金,信息费,是否信息部,零担,备注,司机车长,司机车型,货源重量,货源体积,装卸方式,出发地区,到达地区,装货日期,装货时间,卸货日期,卸货时间,货物名称
20190701,12533872489529,23651742483430892,1294628,2019-07-01 08:05:34,9.6,0,0,-1.0,,,3200,,200,,,,9.6,,,,,庐江县,浦东,20190701,,,,
20190701,12533872489529,96002866061710291,1293148,2019-07-01 07:38:25,9.6,0,0,-1.0,,4800,4500,,400,,,,17.5,,,,,庐江县,浦东,20190701,,,,
20190701,12534345358350,96380588060028703,1293155,2019-07-01 07:39:20,6.8,0,0,,,,,,,,,,,,,,,合肥市,闵行区,,,,,
20190701,12535294917464,15104061180688199,1292256,2019-07-01 07:20:43,6.8,0,0,-1.0,,,1500,,,,,,,,,,,肥东县,青浦区,20190701,下午,,,
20190701,12535294917464,96436391215626184,1295817,2019-07-01 08:23:36,6.8,0,0,-1.0,,,1500,,,,,,,,,,,肥东县,青浦区,20190701,下午,,,
20190701,12535294917464,96268191753134153,1292688,2019-07-01 07:29:31,6.8,0,0,-1.0,,,1500,,,,,,,,,,,肥东县,青浦区,20190701,下午,,,
20190701,12535294917464,96436390509242382,1291508,2019-07-01 07:00:43,6.8,0,0,-1.0,,,1500,,,,,,,,,,,肥东县,青浦区,20190701,下午,,,
20190701,12535294917464,600608457518344121,1291560,2019-07-01 07:02:01,6.8,0,0,-1.0,,,1500,,,,,,,,,,,肥东县,青浦区,20190701,下午,,,
20190701,12535294917464,96436391226885229,1292411,2019-07-01 07:24:26,6.8,0,0,-1.0,,,1500,,,,,,,,,,,肥东县,青浦区,20190701,下午,,,
20190701,12535458459835,600608457519041854,1326394,2019-07-01 22:33:41,6.8,0,0,,,,,,,,,,,,,,,肥西县,闵行区,20190701,,,,
20190701,12535458459835,600608457612088886,1320693,2019-07-01 17:00:18,6.8,0,0,,,,1700,,100,,,,,,,,,肥西县,闵行区,20190701,,,,
20190701,12535458459835,600608457611536436,1304336,2019-07-01 10:22:05,6.8,0,0,,,,1700,,100,,,,,,,,,肥西县,闵行区,20190701,,,,
20190701,12536078550536,600608457574026202,1298951,2019-07-01 09:04:13,9.6,0,0,,,,2400,,,,,,9.6,,,,,肥西县,普陀区,20190701,,,,
20190701,12536078550536,96436391220912942,1305089,2019-07-01 10:33:22,9.6,0,0,,,,2400,,,,,,,,,,,肥西县,普陀区,20190701,,,,
20190701,12536131057701,96436391020140409,1293716,2019-07-01 07:48:23,13.0,0,0,,,,3260,,100,,,全款到付，车头不能高于3.8,,,32,,,巢湖市,宝山区,20190701,,,,
20190701,12536131057701,96436391870628404,1322883,2019-07-01 18:08:31,13.0,0,0,,,,3260,,100,,,,,,,,,巢湖市,宝山区,20190701,,,,
20190701,12536131057701,600608457541724046,1322123,2019-07-01 17:42:55,13.0,0,0,,,,3260,,100,,,,,,,,,巢湖市,宝山区,20190701,,,,
20190701,12536131057701,23651742483966291,1315895,2019-07-01 14:50:15,13.0,0,0,,,,3260,,100,,,,,,,,,巢湖市,宝山区,20190701,,,,
20190701,12536131057701,96436390606155471,1296356,2019-07-01 08:31:07,13.0,0,0,,,,3260,,100,,,,,,,,,巢湖市,宝山区,20190701,,,,
20190701,12536131057701,96436391750465611,1293241,2019-07-01 07:40:23,13.0,0,0,,,,3260,,100,,,,,,,,,巢湖市,宝山区,20190701,,,,
20190701,12536155518781,96436390811112704,1294606,2019-07-01 08:00:51,6.8,1,1,-1.0,1500,,,,100,,,,,,,,,巢湖市,浦东区,20190701,下午,,,
20190701,12536252283310,96436391745007553,1296759,2019-07-01 08:35:56,9.6,0,0,-1.0,,,2200,,,,,,,,,,两装两卸,肥东县,青浦区,20190701,,,,
20190701,12537142721441,96436390438812667,1294375,2019-07-01 08:01:10,13.0,0,0,,,,4480,,,,,,17.5,高低板,,,,长丰县,浦东区,,,,,
20190701,12537142721441,96436390610583668,1294244,2019-07-01 07:58:35,13.0,0,0,,,,5000,,,,,,,,,,,长丰县,浦东区,,,,,
20190701,12537547223807,600608457551320454,1301420,2019-07-01 09:39:52,6.8,0,0,,,,,,,,,,,,,,一装两卸,巢湖市,青浦区,,,,,
20190701,12537547223807,4000000000003173821,1308145,2019-07-01 11:26:20,6.8,0,0,,,,1200,,,,,,,,,,一装两卸,巢湖市,青浦区,,,,,
20190701,12537741842228,4000000000002514797,1306550,2019-07-01 10:54:50,13.0,0,0,,,,3500,,,,,到付回单压200，压车一天,15,,25,,,长丰县,嘉定区,,,,,
20190701,12537741842228,96436391832139834,1298882,2019-07-01 09:01:27,13.0,0,0,,,,3600,,,,,,16.5,,26,,,长丰县,嘉定区,,,,,
20190701,12537741842228,96052842976941949,1315739,2019-07-01 14:45:10,13.0,0,0,,,,3800,,,,,,17.5,厢车,28,,,长丰县,嘉定区,,,,,
20190701,12537741842228,23651742484155400,1300119,2019-07-01 09:19:57,13.0,0,0,,,,4200,,,,,140一吨,17.5,,30,,,长丰县,嘉定区,,,,,
20190701,12537741842228,600608457552474883,1319558,2019-07-01 16:29:23,13.0,0,0,,,,,,,,,,,,,,,长丰县,嘉定区,,,,,
20190701,12538118787710,96380588060028703,1295516,2019-07-01 08:19:28,6.8,1,0,-1.0,,,1600,,,,,,,,,,,瑶海区,嘉定区,20190701,,,,
20190701,12538118787710,600608457611536436,1300135,2019-07-01 09:21:26,6.8,1,0,-1.0,,,1700,,,,,,,,,,,瑶海区,嘉定区,20190701,,,,
20190701,12538118787710,96436390890884390,1305485,2019-07-01 10:36:47,6.8,1,1,-1.0,1700,,,,,,1,,12.5,平板,10,,,瑶海区,嘉定区,20190701,,,,
20190701,12538188431583,96436390727509336,1297035,2019-07-01 08:40:17,9.6,0,0,-1.0,,3500,3200,,,,,,9.6,高栏,,,,庐江县,浦东,20190701,下午,,,
20190701,12538600747742,600608457591249559,1296508,2019-07-01 08:32:30,4.2,0,0,-1.0,,,1400,,100,,,,4.2,高栏,,,,肥东县,浦东,20190701,,,,
20190701,12539083408228,23651742484210218,1307743,2019-07-01 11:18:18,6.8,0,0,,,,,,,,,,,,,,,庐阳区,静安区,,,,,
20190701,12539298401460,96436391226885229,1299306,2019-07-01 09:10:42,6.8,0,0,-1.0,,1600,1500,,100,,,,,,,,,瑶海区,闵行区,20190701,上午,,,
20190701,12540174505660,96436390879768721,1301197,2019-07-01 09:33:43,9.6,0,0,,,3000,2000,,,,,帮别人调车,9.6,,,,,长丰县,宝山区,20190701,,2019-07-02 23:00:00.0,,
20190701,12540174505660,600608457609182362,1310546,2019-07-01 12:21:53,9.6,0,0,,,2900,2500,,,,,,,,,,,长丰县,宝山区,20190701,,2019-07-02 23:00:00.0,,
20190701,12540174505660,4000000000000801361,1307757,2019-07-01 11:15:27,9.6,0,0,,,,,,,,,,,,,,,长丰县,宝山区,20190701,,2019-07-02 23:00:00.0,,
20190701,12540225979897,600608457559567266,1307211,2019-07-01 11:07:34,4.2,0,0,,,,1100,,,,,,,,,,,马鞍山,闵行区,20190701,,,,
20190701,12540225979897,4000000000000733893,1304875,2019-07-01 10:29:53,4.2,0,0,,,,1150,,,,,,,,,,,马鞍山,闵行区,20190701,,,,
20190701,12540903662636,600608457611248761,1301518,2019-07-01 09:41:18,9.6,0,0,,,,,,,,,,,,,,,巢湖市,嘉定区,20190701,,,,
20190701,12541000300214,96436391203769668,1304864,2019-07-01 10:27:47,6.8,0,0,,,,2000,,,,,,6.8,高栏,,,,蜀山区,宝山区,20190701,,2019-07-02 11:00:00.0,,
20190701,12541000300214,23651742484210218,1301798,2019-07-01 09:42:48,6.8,0,0,,,,2000,,,,,2.36宽8米长,,,8,,,蜀山区,宝山区,20190701,,2019-07-02 11:00:00.0,,
20190701,12541000300214,23651742484167560,1301571,2019-07-01 09:39:14,6.8,0,0,,,,,,,,,2.45宽,6.8,高栏,,,,蜀山区,宝山区,20190701,,2019-07-02 11:00:00.0,,
20190701,12541766343206,96315273781031495,1304094,2019-07-01 10:18:29,9.6,0,0,,,,,,,,,,,,,,,合肥市,上海市,20190701,,,,
20190701,12541766343206,4000000000000606106,1303930,2019-07-01 10:15:54,9.6,0,0,,,,,,,,,,,,,,,合肥市,上海市,20190701,,,,
20190701,12541766343206,96436390475627592,1315544,2019-07-01 14:41:11,9.6,0,0,,,,,,,,,,,,,,,合肥市,上海市,20190701,,,,
20190701,12541895257464,96380588060028703,1305228,2019-07-01 10:35:14,6.8,1,0,-1.0,,,1600,,100,,,,,,,,,肥东县,青浦区,20190701,,,,
20190701,12542524041631,600608457537012450,1310101,2019-07-01 12:11:00,6.8,0,0,,,,1800,,200,,,,6.8,冷藏,5,,两装一卸,包河区,嘉定区,,,,,
20190701,12542524041631,4000000000002222865,1312443,2019-07-01 13:11:43,6.8,0,0,,,,,,,,,,,,,,,合肥市,上海市,,,,,
20190701,12542524041631,600608457552025528,1306115,2019-07-01 10:49:46,6.8,0,0,,,,,,,,,,,,,,,合肥市,上海市,,,,,
20190701,12542971983660,96380588022342339,1306543,2019-07-01 10:57:16,9.6,1,0,,,,2100,,,,,,12.5,厢车,20,,,长丰县,浦东区,20190701,,,,
20190701,12542971983660,96436391230979245,1308224,2019-07-01 11:25:43,9.6,1,1,,,,,,,,,,12.5,厢车,,,一装两卸,肥东县,松江区,20190701,,,,
20190701,12543817727999,23651742484169034,1312558,2019-07-01 13:09:52,9.6,0,0,-1.0,,3000,2900,,,,,压车一天,9.6,飞翼,21,,,经济开发区,奉贤区,,,,,
20190701,12543817727999,96117370322795765,1318319,2019-07-01 15:48:37,9.6,0,0,-1.0,,,2900,,,,1,,13,平板,,,,经济开发区,奉贤区,,,,,
20190701,12543817727999,600608457610369097,1312683,2019-07-01 13:17:42,9.6,0,0,-1.0,,,2700,,,,1,,16,平板,,,,经济开发区,奉贤区,,,,,
20190701,12543903355442,23651742484100110,1307613,2019-07-01 11:15:25,9.6,1,1,,2500,,,,,,,,9.6,高栏,15,,,长丰县,宝山区,20190701,,20190702,,
20190701,12543927315581,600608457578777441,1308603,2019-07-01 11:36:36,4.2,0,0,,,,1300,,50,,,,,,,,,肥东县,浦东,20190701,下午,,,
20190701,12543927315581,600608457586167285,1308507,2019-07-01 11:33:00,4.2,0,0,,,,1300,,,,,,,,,,,肥东县,浦东,20190701,下午,,,
20190701,12543927315581,600608457591249559,1309684,2019-07-01 12:00:06,4.2,0,0,,,,1300,,,,,,,,,,,肥东县,浦东,20190701,下午,,,
20190701,12543927315581,600608457609955143,1309508,2019-07-01 11:54:54,4.2,0,0,,,,1300,,,,,,,,,,,肥东县,浦东,20190701,下午,,,
20190701,12544140847891,4000000000000038242,1308519,2019-07-01 11:33:43,6.8,0,0,,,1600,1600,,,,1,,8,厢车,,20,,肥东县,崇明县,,,,,
20190701,12544140847891,96436391226885229,1308306,2019-07-01 11:30:44,6.8,0,0,,,,,,,,,,6.8,高栏,,,,肥东县,崇明县,,,,,
20190701,12544532449218,96436390432412172,1329816,2019-07-02 07:34:20,6.8,0,0,,,,1700,,,,,,,,7,,,瑶海区,金山区,20190701,,,,
20190701,12544605300615,600608457539068058,1317407,2019-07-01 15:31:14,6.8,0,0,-1.0,,2200,1500,,,,,,7.8,飞翼,11,,,高新技术开发区,浦东,20190701,,,,
20190701,12544746900953,96315273769210402,1313242,2019-07-01 13:33:19,9.6,0,0,,,,2400,,,,,压一天车,,,,,,巢湖市,嘉定区,20190701,,,,
20190701,12544835327742,15104061180688199,1312064,2019-07-01 13:01:38,6.8,0,0,-1.0,,,1600,,100,,,,,,,,,肥东县,浦东,20190701,,,,
20190701,12544835327742,96436391226885229,1309358,2019-07-01 11:52:51,6.8,0,0,-1.0,,,1600,,100,,,,,,,,,肥东县,浦东,20190701,,,,
20190701,12544854957710,600608457582721412,1318844,2019-07-01 16:09:07,6.8,0,0,,,,1700,,,,1,,9.6,,10,,,瑶海区,嘉定区,20190701,,,,
20190701,12544854957710,600608457608110016,1322238,2019-07-01 17:46:24,6.8,0,0,,,2200,1700,,,,,,6.8,,,,,瑶海区,嘉定区,20190701,,,,
20190701,12544854957710,96436390901328096,1325357,2019-07-01 20:02:20,6.8,0,0,,,,,,,,,,,,,,,瑶海区,嘉定区,20190701,,,,
20190701,12544854957710,4000000000001463740,1309464,2019-07-01 11:55:17,6.8,0,0,,,,1700,,,,,,6.8,平板,,,,瑶海区,嘉定区,20190701,,,,
20190701,12545184573530,600608457566877338,1310756,2019-07-01 12:24:14,9.6,0,0,,,2500,2500,,,,,,,,15,,,瑶海区,嘉定区,20190701,下午,,,
20190701,12545195931045,96315273769210402,1312634,2019-07-01 13:13:16,9.6,0,0,,,,2300,,100,,,压车一天,,,,,,巢湖市,嘉定区,20190701,,,,
20190701,12545246873442,4000000000002604610,1323177,2019-07-01 18:17:43,9.6,0,0,,,,,,,,,,,,,,,肥西县,奉贤区,,,,,
20190701,12545490359494,96436391998309246,1316262,2019-07-01 15:01:02,6.8,0,0,-1.0,,2300,2000,,,,,,9.6,厢车,,,,庐江县,浦东,,,,,
20190701,12545490359494,4000000000000016707,1314158,2019-07-01 14:01:23,6.8,0,0,-1.0,,2400,2100,,,,,,6.8,高栏,,,,庐江县,浦东,,,,,
20190701,12545490359494,96436390640267190,1316167,2019-07-01 14:53:46,6.8,0,0,-1.0,,2200,1900,,,,,,7.8,飞翼,,,,庐江县,浦东,,,,,
20190701,12545490359494,96436391018929398,1313628,2019-07-01 13:46:09,6.8,0,0,-1.0,,2200,1900,,,,,需进仓,,,,,,庐江县,浦东,,,,,
20190701,12545490359494,96436390695613824,1313684,2019-07-01 13:48:05,6.8,0,0,-1.0,,,,,,,,,,,,,,庐江县,浦东,,,,,
20190701,12545833891404,23651742483891984,1311568,2019-07-01 12:48:01,9.6,0,0,,,3500,2800,,,,,需要拆立柱,9.6,高栏,,,,长丰县,浦东,20190701,,,,
20190701,12545864895444,600608457582992639,1311654,2019-07-01 12:49:02,9.6,1,1,-1.0,2900,,,,,,,回单付,9.6,平板,,,,长丰县,浦东,20190701,,,,
20190701,12546473887742,4000000000001372371,1313358,2019-07-01 13:38:07,4.2,1,1,-1.0,1400,,,,100,,,,,,,,,肥东县,浦东,20190701,,,,
20190701,12546473887742,600608457605970377,1313032,2019-07-01 13:28:34,4.2,1,0,-1.0,,,1400,,100,,,,4.2,高栏,,,,肥东县,浦东,20190701,,,,
20190701,12546546649279,96052842975710228,1313938,2019-07-01 13:53:47,6.8,0,0,,,2500,1800,,,,,,,,,,,肥西县,金山区,20190701,,,,
20190701,12546546649279,96436390647757595,1316128,2019-07-01 14:55:14,6.8,0,0,,,2800,2400,,,,,,,,,,,肥西县,金山区,20190701,,,,
