日期,货源ID,司机ID,录音ID,录音时间,整车车长,是否成交,是否该司机成交,模型预测价格,司机净收入,司机出价,货主出价,定金,信息费,是否信息部,零担,备注,司机车长,司机车型,货源重量,货源体积,装卸方式,出发地区,到达地区,装货日期,装货时间,卸货日期,卸货时间,货物名称
20190704,12609922469636 ,96380588031020500 ,1421396,2019/7/4 13:41,9.6,0,0,2500,,,,,,,,不要12.5的厢式车,12.5,厢式,15,40,,高新技术开发区,宝山区,,,,,”服装
20190704,12609922469636 ,96380588062944100 ,1409493,2019/7/4 9:32,9.6,0,0,2500,,2500,,,,,,进仓,12.5,厢式,15,40,一装两卸,高新技术开发区,宝山区,,,,,”服装
20190704,12609922469636 ,600608457602518000 ,1421656,2019/7/4 13:48,9.6,0,0,2500,,,,,,,,司机货物看错,4.2,高栏,15,40,,高新技术开发区,宝山区,,,,,”服装
20190704,12609922469636 ,23429835900919200 ,1421021,2019/7/4 13:28,9.6,0,0,2500,,,2000,,,,,集装箱不行,12.5,厢式,15,40,一装两卸,高新技术开发区,宝山区,,,,,”服装
20190704,12609922469636 ,96436390773352400 ,1420452,2019/7/4 13:12,9.6,0,0,2500,,2300,2100,,,,,宝山和浦东卸,12.5,平板,15,40,一装两卸,高新技术开发区,宝山区,,,,,”服装
20190704,12611207647960 ,95990522695084100 ,1416894,2019/7/4 11:36,6.8,0,0,1700,,,1800,,,,,,6.8,高栏,10,0,一装一卸,肥东县,金山区,20190704,,,,熟食粉
20190704,12611207647960 ,600608457607108000 ,1412481,2019/7/4 10:19,6.8,0,0,1700,,,,,,,,都未涉及,6.8,平板,10,0,一装一卸,肥东县,金山区,20190704,,,,熟食粉
20190704,12608753160298 ,96117370321400600 ,1404389,2019/7/4 8:21,13,0,0,3400,,,3300,,100,1,,110每吨,13,平板,30,0,,肥西县,青浦区,,,,,塑料颗粒
20190704,12608753160298 ,96117370322795700 ,1409703,2019/7/4 9:37,13,0,0,3400,,,,,,,,货定好呢，忘记下架,13,平板,30,0,,肥西县,青浦区,,,,,塑料颗粒
20190704,12609850010298 ,23429835901120800 ,1408955,2019/7/4 9:27,13,0,0,3400,,,,,,,,货已发走,13,平板,30,0,,肥西县,青浦区,,,,,塑料颗粒
20190704,12615198737960 ,600608457551320000 ,1417893,2019/7/4 11:59,6.8,1,1,1700,1800,,,,,,1,袋装 全程没有提到金钱,9.6,厢式,10,0,一装一卸,肥东县,金山区,20190704,,,,熟食粉
20190704,12615198737960 ,23651742482753500 ,1416239,2019/7/4 11:21,6.8,1,0,1700,,,,,,,1,货到付款 袋装 20公斤,13,高低板,10,0,一装一卸,肥东县,金山区,20190704,,,,熟食粉
20190704,12606275312746 ,4000000000001260000 ,1399734,2019/7/4 6:46,4.2,1,1,1300,1400,,,,,,,#绿通#,4.2,高栏,6,0,一装一卸,肥东县,浦东,20190704,下午,,,水果
20190704,12618790284597 ,23651742484212300 ,1421135,2019/7/4 13:31,9.6,0,0,2500,,3300,2600,,,,,,9.6,厢式,15,0,,经济开发区,浦东,20190704,下午,20190706,,普货
20190704,12618790284597 ,95910672998290100 ,1421215,2019/7/4 13:36,9.6,0,0,2500,,,2600,,,,,,9.6,平板,15,0,,经济开发区,浦东,20190704,下午,20190706,,普货
20190704,12620427941929 ,4000000000002610000 ,1426240,2019/7/4 15:55,9.6,0,0,2500,,,2300,,100,1,,托盘装、货到付款、从微信成交 ,15,飞翼车,20,0,一装一卸,巢湖市,金山区,20190704,,,,塑料地板
20190704,12620427941929 ,96117370322795700 ,1425500,2019/7/4 15:35,9.6,0,0,2500,,3200,,,,,,托盘装、货到付款 车内径2.37,13,平板,20,0,一装一卸,巢湖市,金山区,20190704,,,,重货
20190704,12609957356007 ,96117370321400600 ,1405773,2019/7/4 8:41,13,0,0,3400,,,,,,,,无效电话 ,13,平板,33,0,,巢湖市,浦东,,,,,瓷砖
20190704,12613373583710 ,4000000000003300000 ,1411952,2019/7/4 10:09,13,0,0,3360,,3500,3300,,,,,,13,高栏,32,0,一装一卸,巢湖市,松江区,20190704,,20190705,,百货
20190704,12613373583710 ,96436391489073600 ,1414770,2019/7/4 10:57,13,0,0,3360,,,,,,,,,13,平板,32,0,一装一卸,巢湖市,松江区,20190704,,20190705,,百货
