日期,货源ID,司机ID,录音ID,录音时间,整车车长,是否成交,是否该司机成交,模型预测价格,司机净收入,司机出价,货主出价,定金,信息费,是否信息部,零担,备注,司机车长,司机车型,货源重量,货源体积,装卸方式,出发地区,到达地区,装货日期,装货时间,卸货日期,卸货时间,货物名称
20190630,12516609877283 ,6.00608E+17,1263172,2019/6/30 6:51,6.8,1,0,,,,1600,,,,,,,,7,0,,瑶海区,松江区,,,,,
20190630,12516609877283 ,9.64364E+16,1263251,2019/6/30 6:54,6.8,1,0,,,,1650,,,,,,,,7,0,,瑶海区,松江区,,,,,
20190630,12516609877283 ,9.64364E+16,1264438,2019/6/30 7:27,6.8,1,1,,1650,,,,50,,,,6.8,高栏,7,0,,瑶海区,松江区,,,,,
20190630,12518603088350 ,6.00608E+17,1266248,2019/6/30 8:03,4.2,1,1,,1100,,,,100,1,,,,,4,0,,庐江县,上海市,,,,,
20190630,12519874792121 ,6.00608E+17,1268543,2019/6/30 8:44,13,1,0,,,,4000,,,,,伊利,13,高低板,32,0,,长丰县,嘉定区,,,,,
20190630,12520227102121 ,9.64364E+16,1289898,2019/6/30 21:42,17.5,1,1,,4500,,,,,,,,17.5,平板,31,0,,庐阳区,嘉定区,,,,,
20190630,12520329154132 ,6.00608E+17,1269510,2019/6/30 8:59,6.8,1,0,,,1700,1600,,,,,货到付款,6.8,高栏,10,0,,瑶海区,浦东,,,,,
20190630,12520329154132 ,9.64364E+16,1271589,2019/6/30 9:33,6.8,1,0,,,,1600,,,,,货到付款,6.8,平板,10,0,,瑶海区,浦东,,,,,
20190630,12520329154132 ,6.00608E+17,1270046,2019/6/30 9:05,6.8,1,1,,1600,1600,,100,,,,,6.2,高栏,10,0,,瑶海区,浦东,,,,,
20190630,12521325630580 ,9.64364E+16,1271250,2019/6/30 9:24,17.5,1,1,,3900,,,,,,,,,,31,0,,合肥市,嘉定区,,,,,
20190630,12522706856401 ,4E+18,1278096,2019/6/30 11:58,4.2,1,1,,1100,,,,100,,,,,,3,0,,巢湖市,闵行区,,,,,
20190630,12523495980692 ,9.58194E+16,1275427,2019/6/30 10:50,9.6,1,0,,,,,,,,,,,,19,60,,肥东县,浦东,,,,,
20190630,12523495980692 ,4E+18,1275050,2019/6/30 10:38,9.6,1,1,,4000,,,,,,,,16.5,厢式,19,60,一装两卸,肥东县,浦东,,,,,
20190630,12524062940621 ,6.00608E+17,1277338,2019/6/30 11:35,9.6,1,1,,2200,,,,100,,,,9.6,,20,0,,巢湖市,嘉定区,,,,,绿通
20190630,12524611816585 ,9.64364E+16,1277167,2019/6/30 11:31,4.2,1,1,,1300,1300,,,,,,,4.2,厢式,3,15,,肥西县,金山区,,,,,
20190630,12524612320621 ,6.00608E+17,1277483,2019/6/30 11:39,4.2,1,1,,1400,,,100,,,,放空20公里，牛奶，压车费1天600元,,,1,20,,庐江县,浦东,20190701,早上,20190702,,
20190630,12524612320621 ,6.00608E+17,1277082,2019/6/30 11:29,4.2,1,0,,,,1400,,,,,,,,1,20,,庐江县,浦东,,,,,
