日期,货源ID,司机ID,录音ID,录音时间,整车车长,是否成交,是否该司机成交,模型预测价格,司机净收入,司机出价,货主出价,定金,信息费,是否信息部,零担,备注,司机车长,司机车型,货源重量,货源体积,装卸方式,出发地区,到达地区,装货日期,装货时间,卸货日期,卸货时间,货物名称
20190707,1.27E+13,9.61E+16,1504347,2019/7/7 8:57,6.8,0,0,1700,,,,,,,,无效沟通,7.2,平板,10,0,,合肥市,崇明县,,,,,托盘
20190707,1.27E+13,9.64E+16,1502652,2019/7/7 8:19,6.8,0,0,1700,,2400,2000,,,,,,9.6,高栏,10,0,,合肥市,崇明县,,,,,托盘
20190707,1.27E+13,4.00E+18,1510528,2019/7/7 11:04,9.6,1,0,2350,,,1800,,,,,,9.6,厢式,15,0,一装一卸,瑶海区,青浦区,20190707,,,,普货
20190707,1.27E+13,9.63E+16,1510100,2019/7/7 10:53,9.6,1,0,2350,,,1800,,,,,,9.6,厢式,15,0,一装一卸,瑶海区,青浦区,20190707,,,,普货
20190707,1.27E+13,9.64E+16,1510802,2019/7/7 11:11,9.6,1,0,2350,,,1800,,,,,,9.6,厢式,15,0,一装一卸,瑶海区,青浦区,20190707,,,,普货
20190707,1.26819E+13,4.00E+18,1511073,2019/7/7 11:19,9.6,1,1,2350,1900,,,100,,,,,9.6,厢式,15,0,一装一卸,瑶海区,青浦区,20190707,下午,,,普货
20190707,1.27E+13,4.00E+18,1522249,2019/7/7 19:12,13,0,0,3260,,,,,,,,,13,高栏,32.5,0,一装一卸,肥东县,浦东,20190708,,,,箱装水
20190707,1.27E+13,1.51E+16,1519611,2019/7/7 16:54,4.2,1,0,1400,,1300,,,100,,,,7.7,厢式,6.8,0,一装一卸,肥东县,宝山区,20190708,,,,水果
20190707,1.27E+13,6.01E+17,1519966,2019/7/7 17:09,4.2,1,1,1400,1300,,,,100,,,,4.2,高栏,6.8,0,一装一卸,肥东县,宝山区,20190708,,,,水果
20190707,1.27E+13,4.00E+18,1523705,2019/7/7 21:47,4.2,0,0,1400,,1500,1400,,,,,进仓货，加微信沟通,4.2,厢式,0,18,一装一卸,庐江县,浦东,20190708,,,,服装
20190707,1.27E+13,9.61E+16,1524016,2019/7/8 5:52,4.2,0,0,1400,,,,,,,,,4.2,厢式,0,18,一装一卸,庐江县,浦东,20190708,,,,服装
20190707,1.27E+13,6.01E+17,1522817,2019/7/7 19:51,4.2,0,0,1400,,,1400,,,,,,4.2,高栏,0,18,一装一卸,庐江县,浦东,20190708,,,,服装
20190707,1.27E+13,9.61E+16,1511831,2019/7/7 11:41,13,0,0,3260,,,3050,,,,,内径2.45 ，不是禁区,17.5,飞翼车,32,0,一装一卸,巢湖市,上海市,,,,,石 膏板浦西（看备注）
20190707,1.27E+13,2.37E+16,1515656,2019/7/7 14:16,13,0,0,3260,,,,,,,,货已走掉,13,平板,32,0,一装一卸,巢湖市,上海市,,,,,石 膏板浦西（看备注）
