日期,货源ID,司机ID,录音ID,录音时间,整车车长,是否成交,是否该司机成交,模型预测价格,司机净收入,司机出价,货主出价,定金,信息费,是否信息部,零担,备注,司机车长,司机车型,货源重量,货源体积,装卸方式,出发地区,到达地区,装货日期,装货时间,卸货日期,卸货时间,货物名称
20190708,12692581737464,600608457608446406,1535262,2019-07-08 09:37:58,4.2,0,0,1400.0,,,1200,,,,2,免过路费，加微信飞单,4.2,高栏,5.0,0.0,一装一卸,肥东县,浦东,20190708,下午,,,装西瓜，全程免过路费，下午装
20190708,12692581737464,96436390842032125,1530500,2019-07-08 08:33:43,4.2,0,0,1400.0,,,,,,,,散装西瓜，不押车，免过路费,4.2,高栏,5.0,0.0,一装一卸,肥东县,浦东,20190708,下午,,,装西瓜，全程免过路费，下午装
20190708,12692581737464,15106454801299274,1529947,2019-07-08 08:27:02,4.2,0,0,1400.0,,,1200,,,,,免过路费，到地卸货，不押车,4.2,高栏,5.0,0.0,一装一卸,肥东县,浦东,20190708,下午,,,装西瓜，全程免过路费，下午装
20190708,12692581737464,4000000000001890894,1526952,2019-07-08 07:40:27,4.2,0,0,1400.0,,1500,1200,,,,,,4.2,高栏,5.0,0.0,一装一卸,肥东县,浦东,20190708,下午,,,装西瓜，全程免过路费，下午装
20190708,12692581737464,600608457518476009,1524338,2019-07-08 06:20:40,4.2,0,0,1400.0,,,,,,,,没说内容,3.8,平板,5.0,0.0,一装一卸,肥东县,浦东,20190708,下午,,,装西瓜，全程免过路费，下午装
20190708,12692581737464,600608457553771769,1532674,2019-07-08 09:01:44,4.2,0,0,1400.0,,,1200,,,1,2,不押车，加微信飞单,4.2,高栏,5.0,0.0,一装一卸,肥东县,浦东,20190708,下午,,,装西瓜，全程免过路费，下午装
20190708,12692581737464,4000000000002177027,1527194,2019-07-08 07:44:25,4.2,0,0,1400.0,,,1200,,,,,免过路费,4.2,厢式,5.0,0.0,一装一卸,肥东县,浦东,20190708,下午,,,装西瓜，全程免过路费，下午装
20190708,12692581737464,96436390479677967,1534260,2019-07-08 09:24:25,4.2,0,0,1400.0,,,1200,,,,,免过路费，到地卸货，不押车,4.2,高栏,5.0,0.0,一装一卸,肥东县,浦东,20190708,下午,,,装西瓜，全程免过路费，下午装
20190708,12692581737464,96117370311733760,1524155,2019-07-08 06:05:10,4.2,0,0,1400.0,,,1200,,,,,不押车,4.2,厢式,5.0,0.0,一装一卸,肥东县,浦东,20190708,下午,,,装西瓜，全程免过路费，下午装
20190708,12696318246063,96436390857912913,1537145,2019-07-08 10:02:53,6.8,1,1,1700.0,1800,,,200,,1,1,有过桥费，可以自带小货配货,6.8,平板,7.0,0.0,一装一卸,巢湖市,崇明县,20190708,,,,铸铁件
